,name,description,price,city,address,car_dist,bike_dist,is_bikable,website
35,Banshee,"You’ll be further captivated by the moody vibe of the small dining room, swathed in peacock-blue wallpaper and subway tile and velvet drapes, and by cocktails such as the Stately Hag: a tart and herbaceous mix of reposado tequila, Cocchi Americano, Strega, lemon, and thyme. Who before Wynn has served warm Native American fry bread with pepperoni butter and scallions as a form of exalted bread service? The neighborhood’s most sophisticated restaurant is a tiny, highly original operation that transcends genre and remains in tune with its offbeat surroundings.",2,East Atlanta Village,1271 Glenwood Avenue,00:11:00,00:35:00,False,banshee-atl.com
36,Busy Bee,"Atlanta would be a lesser town without Busy Bee, which provided sustenance to Civil Rights leaders, including Martin Luther King Jr. Since 1947, the woman-owned institution has reliably served heaping helpings of soul food: smothered pork chops, oxtails, fried chicken, collards, and cornbread dressing. Old-school politicos and R&B stars alike continue to file into the tight quarters on the outskirts of Atlanta’s HBCU complex, seeking lunch or early dinner (it closes at 7 p.m.). There’s no better serving of history.",1,AUC,810 Martin Luther King Drive,00:09:00,00:19:00,True,thebusybeecafe.com
37,Tassili’s Raw Reality,"There are 40 ounces of kale packed into the Mandingo wrap at Tassili’s Raw Reality, which has occupied the colorful ground floor of a two-story duplex in West End since 2011. Lest you scoff at its $25 price tag, take note that this wrap could easily feed you for three days—and that it’s so magical you’ll actually want to spend three days eating it. Just patiently wait your turn in the slow-moving line to the counter, and fixate on the beatific diners scarfing down various wraps ($9 to $14 for the normal-sized ones).",1,West End,1059 Ralph D. Abernathy Boulevard,00:13:00,00:26:00,False,tassilisrawreality.com
38,Empire State South,"It’s been over a decade since celebrity chef Hugh Acheson opened Empire State South and challenged Atlanta’s notion that Southern food is something preciously preserved in the past. A lot has changed since then, but Empire State South remains a destination restaurant in a part of Midtown that has too few of them. The terrace overlooking a bocce court ringed by Adirondacks is a splendid gathering spot for an impromptu al fresco meal or a planned event.",3,Midtown,999 Peachtree Street,00:08:00,00:10:00,True,empirestatesouth.com
39,The General Muir,"In seven years, the General Muir has become indispensable for its upscale Jewish deli–inspired menu: If you have a hankering for piled-high pastrami on rye or chopped liver with pletzel bread, there is no better place. Now, you can find a sublime bowl in a glamorous space that evokes vintage Manhattan. There was once a time when you couldn’t get a good matzo ball soup in town.",2,Emory,1540 Avenue Place,00:20:00,00:42:00,False,thegeneralmuir.com
40,Chicken + Beer,"Ludacris and his partner, restaurant group Jackmont Hospitality, don’t peddle “airport wings” (the flavorless variety created solely to sustain a captive, security-cleared audience); these whole wings rival those you’ll find at any restaurant in Atlanta, the world’s wing capital. There is no better restaurant co-owned by a rapper and named for a seminal album—especially if, like the intro track from Ludacris’s Chicken-n-Beer, you prefer your comfort food “Southern Fried.” If or when Luda and company decide to expand the franchise beyond Hartsfield-Jackson, and members of the general public have an easier time getting hold of the short-rib mac and cheese, it will be even clearer that this food holds its own against restaurants far beyond Concourse D.",2,Hartsfield-Jackson,"Concourse D, Gate 5",00:15:00,01:14:00,False,chickenandbeer.com
41,La Tavola,"Whether you’re in the mood for straightforward spaghetti and veal meatballs, deeply murky and oceanic zuppa di pesce, or just the housemade buttermilk ricotta and a glass of Sicilian red at the bar, you’ll be right at home. For nearly two decades, La Tavola has quietly enchanted Virginia-Highlanders—who are perfectly happy keeping this underappreciated beauty all to themselves. If only every neighborhood could be home to a high-quality Italian spot that harbors such a creative streak.",2,Virginia-Highland,992 Virginia Avenue,00:15:00,01:00:00,False,latavolatrattoria.com
42,Bread & Butterfly,"Pop in for a croissant and a cafe au lait before work, treat yourself to a fine lunch of shrimp remoulade or trout salad, or linger over a dinner of garlic sausage over lentils or truffled penne au gratin with Gruyère and Parmesan. If you miss Billy Allin’s now-shuttered Cakes & Ale (and who doesn’t?), know that you can now find the master of simplicity himself behind the stove at his ever-so-French, all-day cafe. The tiny bar and the various dining areas smack of Paris at its most romantic.",2,Inman Park,290 Elizabeth Street,00:11:00,00:19:00,True,bread-and-butterfly.com
43,No. 246,"In 2021 the restaurant underwent a slight revisioning—from modern Cali-Italian to old-school red-sauce joint—but executive chef Drew Belline is still here, as are some old favorites: the textbook cacio e pepe, the gut-warming Bolognese. They share a comforting menu with a handful of pizzas (margherita, clam pie) and secondi including chicken scallopini, shrimp scampi, and flounder piccata. In its first 10 years, this Ford Fry Italian spot has been an incubator for talent:",2,Decatur,129 East Ponce de Leon Avenue,00:22:00,00:48:00,False,no246.com
44,The White Bull,"Though you might encounter a few recurring characters—housemade sfincione bread, the super-botanical A Pisco My Heart concoction—most of what’s available has changed from the day before, with recipes that could be rooted in Germany, France, Italy, Japan, or here in the homeland. Nevertheless, what you eat is likely sourced from a local or regional farm, which gives Pascarella the opportunity to draft new and imaginative culinary tales—or should we say A Moveable Feast? It takes balls—and a stiff drink—to attempt to tell stories with food the way Hemingway did with a typewriter.",2,Decatur,123 East Court Square,00:22:00,00:48:00,False,whitebullatl.com
45,El Tesoro,"“El Tesoro” means “the treasure,” and the restaurant’s owners have found one in Cristina Lugo Soto, a home cook who hails from the Mexican coastal state of Guerrero and runs the kitchen with her daughter, Mayra. The tacos come as tacos are supposed to, with supremely flavorful meat that requires no embellishment aside from micro-diced onion, a light shower of chopped cilantro, a squeeze of lime, and, if you must, a streak of one of three homemade salsas. Soto offers three tamale flavors—pork with green salsa, chicken with chipotle salsa, and rajas with mushroom and squash—and if there’s a more craveable masa in existence, we’ve yet to find it.",1,Edgewood,1374 Arkwright Place,00:11:00,00:31:00,False,eltesoroatl.com
46,Snackboxe Bistro,"Inspired by the bright flavors they encountered on a trip to their native Laos, husband and wife Vanh Sengaphone and Thip Athakhanh craft street food–inspired dishes vibrant with heat and acid, including a peerless laap (a spicy and tart meat salad more commonly known by its Thai name, larb) and a sinus-clearing bowl of khao poon (its curry broth, rich with coconut milk, clings to long rice noodles). But with the early 2018 opening of insta-hit Snackboxe in Doraville, there’s now an excellent representation of the underappreciated cuisine right in our backyard. Laotian food has long been overshadowed in Atlanta by the cuisine of neighboring Thailand.",1,Doraville,6035 Peachtree Road,00:21:00,01:16:00,False,snackboxebistro.com
47,Heirloom Market BBQ,"Heirloom is a love story—between its co-owners, wife and husband Jiyeon Lee and Cody Taylor, and between the homestyle Korean cooking of her childhood and the homestyle Texan cooking of his. As with all great love stories, the passion between miso paste and collard greens or kimchi and coleslaw was almost accidental at first, but these pairings were clearly meant to be. Our only gripe is that the mostly takeout operation offers just a few standing tables; this food is too good to rush through while on your feet and too tempting to drive all the way home with.",1,Cumberland,2243 Akers Mill Road,00:16:00,01:19:00,False,heirloommarketbbq.com
48,Chai Pani,"Gone are the beloved okra fries—but in their place are fantastically flavored dishes like tomato cheese uttapam (a fermented rice and lentil pancake, served with two kinds of chutney), Indo-Chinese–style chili chicken, and a Bengali-style fried catfish filet. Meherwan Irani’s Decatur destination—part of a mini empire stretching between Atlanta and Asheville—has pivoted several times in recent years, switching to takeout-only during the pandemic and then reopening, in summer 2021, with a refreshed menu that emphasizes Indian home-cooking favorites and regional specialties. The colorful dining room remains a cheerful hang, and the cocktails are still tops.",1,Decatur,406 West Ponce de Leon Avenue,00:20:00,00:46:00,False,chaipanidecatur.com
49,Community Q BBQ,"Opened in 2009 with several partners in a tight little shopping center near Emory, Community Q offers moist and tender pulled pork that isn’t obnoxiously smoky, reliably robust St. Louis ribs, and ridiculously rich and creamy three-cheese mac and cheese. You may want to mix the vinegar-based sauce into the tomato and molasses one—but, as is true of the best barbecue joints, these meats are tasty enough to eschew the sauces entirely. Back then, hoity-toity chefs hadn’t begun to launch the kind of barbecue operations that source their meats extra carefully and support organic farms.",1,North Decatur,1361 Clairmont Road,00:21:00,00:45:00,False,communityqbbq.com
50,Taqueria del Sol,"Two decades and six locations later, customers still line up for Hernandez’s Southern-Mexican mashup cuisine: fried-chicken tacos with lime-jalapeño mayonnaise, refried-bean enchiladas with a side of turnip greens, and shrimp corn chowder. Eddie Hernandez and Mike Klank opened the first Taqueria del Sol on the Westside in 2000, cranking out crowd-pleasing $2 tacos. Pick up his cookbook, Turnip Greens & Tortillas, which was one of our favorites of 2018.",1,Cheshire Bridge,2165 Cheshire Bridge Road,00:13:00,00:37:00,False,taqueriadelsol.com
51,Rising Son,"They came to the adorable Avondale Estates storefront for fried trout with cheese grits and for vegetables—collards, kale, sweet potatoes—that Hudson grows himself. When Hudson Rouse, formerly of Home Grown, and his wife, Kathryn Fitzgerald Rouse, opened this creative meat-and-three for breakfast and lunch in 2016, the crowds flocked. As the woman sitting next to us on a recent visit told her server: “I’m upset—I’ve lived here for 18 months and only just discovered this place!”",1,Avondale Estates,124 North Avondale Road,00:26:00,00:54:00,False,risingsonavondale.com
52,Fox Bros. Bar-B-Q,"The brothers’ brisket is legendary, but just as epic are their over-the-top barbecue offerings: the camp classic Frito Pie served in the actual bag, hickory-smoked jumbo wings dressed in homemade sauce, and a nine-inch, smoked beef rib that looks like something a caveman might devour. The Foxes have built upon their success with a line of barbecue and wing sauce sold at Whole Foods and other stores, a partnership with the Atlanta Falcons, and a “Que-osk” location near SweetWater Brewing. In 2007, twin brothers Jonathan and Justin Fox opened their DeKalb Avenue restaurant.",1,Candler Park,1238 DeKalb Avenue,00:13:00,00:28:00,False,foxbrosbbq.com
53,Arepa Mia,"Even more rewarding is a visit to her cheerful, stand-alone spot in Avondale Estates, where she also serves specialties such as pabellón (shredded grassfed beef with black beans, fried plantains, and queso de año) and avocado and heart-of-palm salad dressed with sweet corn juice. Growing up, Lis Hernandez spent countless days with her mother in the kitchen making arepas—stuffed cornmeal patties, crunchy from a hot grill—that they sold on the streets in their native Venezuela. Hernandez’s arepas first appeared in Atlanta at the Sweet Auburn Curb Market in 2012, and she still sells them there.",1,Avondale Estates,10 North Clarendon Avenue,00:27:00,00:55:00,False,arepamiaatlanta.com
54,Taqueria Don Sige,"But ignore any misinformed impulses because you’re here for traditional tacos (chopped onion, cilantro, lime, and radish), irresistibly priced at $1.50 each (pollo is great, but chorizo, camarones, and lengua are phenomenal). Located behind a gas station, in a tiny strip mall on the border of College Park and East Point, Don Sige isn’t known for its decor. The spicy salsa verde isn’t complex and doesn’t need to be, and the expertly wrapped burrito and liberally sauced steak fajita are as flavorful as they are unfancy.",1,College Park,1720 Vesta Avenue,00:18:00,00:51:00,False,None
55,Desta Ethiopian Kitchen,"Despite the competition, it’s still the best place in town to scoop up kitfo (raw, minced beef seasoned with chili powder and spiced butter) and miser (red lentils stewed with cayenne, onion, garlic, and ginger) using soft, spongy, fermented injera bread. The menu, which allows you to make decisions based on how daring you are, demystifies Ethiopian cuisine, and the tree that rises up from the middle of the covered patio and through its roof makes you forget you’re in the middle of an asphalt sea. Desta is one of three Ethiopian restaurants at the corner of Briarcliff and Clairmont roads—including the stylish and formidable newcomer Feedel Bistro.",1,North Druid Hills,3086 Briarcliff Road,00:14:00,00:54:00,False,destaethiopiankitchen.com
56,Aria,"Plates are adorned with drops and loops and smears of sauces, and even if that’s not typically your thing, you’ll still be wowed by Aria’s artistry—particularly when the plate holds caramelized scallops with perfect piles of sunchoke, Brussels, and rutabaga. Perhaps you’ve had your fill of beet salads, but you haven’t had a beet salad until you’ve had this one; with gold and ruby-red wedges mingling with candied walnuts atop thick, lemony yogurt, the dish is exceptional in its simplicity. Whether the date night in question is prom, an anniversary, an engagement, or some less monumental event, Aria is up to the occasion.",4,Buckhead,490 East Paces Ferry Road,00:14:00,00:37:00,False,aria-atl.com
57,Tomo,"Your best option is to snag one of five nightly spots for Naito’s omakase (tasting menu), which starts at $100 and could include fluke with ponzu gelee and a lamb chop dusted in citrusy, almost minty sansho powder. If you want to fully experience Tomo, skip the sprawling menu; the shrimp tempura roll and teriyaki-glazed chicken breast will only distract you from the immensity of chef Tomohiro Naito’s gift for Japanese cuisine. Your faux-makase could include slivers of superfresh sashimi shimmering in a shallow pool of yuzu ponzu and extra-virgin olive oil and a simple slice of miso-marinated, broiled black cod.",4,Buckhead,3630 Peachtree Road,00:14:00,00:44:00,False,tomorestaurant.com
58,Bones,"Even lunch at the bar is a treat, a prime perch for sipping a martini, chowing down on one of the city’s best burgers, and indulging in a mile-high ice cream pie. Start with lump-crab cocktail or lobster bisque or a wedge salad, and pair your steak or chop with a loaded baked potato and grilled asparagus. If corporate bigwigs want to blow $6,000 on wine, they do it at this landmark, wood- paneled steakhouse.",4,Buckhead,3130 Piedmont Road,00:14:00,00:38:00,False,bonesrestaurant.com
59,Lazy Betty,"Hsu’s Steak & Eggs is a nod to his family’s frequent visits to Waffle House, but in his version, a dry-aged New York strip is accompanied by a sous-vide egg wrapped in a wasabi leaf. In the magnificently transformed Candler Park space that formerly housed Radial Cafe, choose from two tasting menus—six courses for $130 or eight for $170 (gratuity included). And though he’s opened the most ambitious new restaurant Atlanta has seen in several years, that doesn’t mean his rarefied food is short on fun.",4,Candler Park,1530 DeKalb Avenue,00:15:00,00:30:00,False,lazybettyatl.com
60,Mamak,"This small, sleek, colorful dining room manages to instantly transport you to the streets of Malaysia, where vendors serve near-identical versions of Mamak’s sambal okra, Hainanese chicken, wok-fried flat rice noodles, mustard green fish head soup, and curry laksa. The real-deal cooking—along with the fact that most entrees are priced below $15, and only one of the lunch specials exceeds $8—makes it a place that demands repeat visits. These dishes are but a few of the many reasons Mamak has a rabid following.",1,Doraville,5150 Buford Highway,00:20:00,01:15:00,False,mamak-kitchen.com
61,Woo Nam Jeong (Stone Bowl House),"Sizzling dolsots (blazing hot stone bowls) of Atlanta’s best bibimbap come spicy with kimchi or more subdued with a mix of braised mushrooms seasoned with sweet soy sauce (there’s even an oceanic version with squid or eel). From the moment the owner introduces herself as “Grandma,” you know Woo Nam Jeong is a special place. Grandma makes nearly every item at this Buford Highway homestyle Korean restaurant from scratch.",1,Doraville,5953 Buford Highway,00:21:00,01:24:00,False,None
62,El Rey del Taco,"If you’re feeling indecisive about the dozen taco options—from steak to goat, cow’s cheek to tongue, chorizo to al pastor—go for a bunch of $1.60 mini tacos (though we do prefer the full-priced $2.50 ones on a homemade tortilla). There are tons of other worthy things to eat at El Rey, including sizzled meats a la plancha and more than three dozen seafood dishes. El Rey del Taco means “the king of the taco,” and it lives up to its name.",1,Doraville,5288 Buford Highway,00:20:00,01:20:00,False,elreydeltacoatl.com
63,Food Terminal,"There’s not a more craveable noodle dish in Atlanta than the Thai Chili Pan Mee, a bowl of silky flat noodles topped with dried anchovies, ground chicken, shiitakes, spinach, and a fried egg. Additional locations have opened on the Westside (1000 Marietta Street Northwest), in Sandy Springs (6440 Aria Boulevard), and in Alpharetta (6360 North Point Parkway). And the well-oiled kitchen cranks out clever takes on Malaysian food, a mix of Chinese, Indian, Singaporean, and Thai flavors.",1,Chamblee,5000 Buford Highway,00:20:00,01:12:00,False,foodterminal.com
64,Yet Tuh,"You now can more easily choose from “dishes,” “combo,” “side dishes,” “hot pot,” “noodles,” and “pancake”—and you can’t choose wrong. This humble hideaway just off Buford Highway offers homestyle Korean food at its most comforting: kimchi pancakes, steamed chicken and rice, and bubbling kimchi stew with pork. And for non-Korean speakers, the menu became easier to navigate last year when it was overhauled with both photos and categories translated to English.",1,Doraville,3042 Oakcliff Road,00:20:00,01:26:00,False,None
65, Taquería La Oaxaqueña,"Oaxaca is considered one of the culinary capitals of Mexico, and the Oaxacan specialty that eaters have raved about for years at this Jonesboro gem is the tlayuda: a large, grilled tortilla covered pizzalike with refritos, string cheese, avocado, lettuce, and your choice of meat (pork sluiced in chili is tops). You’ll also discover some of the finest tacos in town here; handmade corn tortillas are folded around delicacies such as stewed beef cheeks, tripe, and pork al pastor. Huaraches, the sandal-shaped boats of masa dough, are loaded with rich meat.",1,Jonesboro,605 Mount Zion Road,00:21:00,01:36:00,False,None
66,Rumi’s Kitchen,"Staged against a turquoise-tiled open kitchen, the dining room is a glamorous setting for grazing on kashk badenjoon (fried eggplant, cream of whey, crispy onion, mint) and charred lamb kebabs perfumed with citrus and saffron. Additional locations opened in Midtown at Colony Square (1175 Peachtree Street Northeast) and at Avalon in Alpharetta (7105 Avalon Boulevard). A second location, which opened at Avalon in 2017, has done little to ease the crowds.",3,Sandy Springs,6112 Roswell Road,00:20:00,01:22:00,False,rumiskitchen.com
67,9292 Korean Barbecue,"At 9292—the flagship of a growing mini-empire, including the almost-as-good D92 in Decatur—each part is a cut above: a rainbow of daily changing side dishes (banchan) like pickled radishes and soy-glazed peanuts; glistening slices of marbled brisket, pork belly, and ribeye; charcoal grills (which we prefer to their electric counterparts); and a sleek, industrial space. (As for the name: Say “92-92” in Korean, and it sounds like the word for “grill.”) It’s a marvel to watch the servers navigate the labyrinth of semiprivate dining cubicles.",2,Duluth,3360 Satellite Boulevard,00:28:00,00:02:00,True,facebook.com/9292KBBQ
68,Osteria Mattone,"Dividing the casual barroom from the white-tablecloth side is a partially enclosed tasting room, which showcases an award-winning, mostly Italian wine cellar—though our favorite spot is the covered front patio, where you can soak up Canton Street’s convivial energy. Pasta options (including gluten-free ones) range from plump agnolotti di oxo (braised short rib—stuffed ravioli) to hearty tagliolini Bolognese. Co-owners and siblings Ryan and Daniel Pernice are ever-attentive and easy to spot—think the Property Brothers with beards.",2,Roswell,1095 Canton Street,00:30:00,00:02:00,True,osteriamattone.com
69,Nam Phuong,"The number of menu options can be overwhelming, but you can’t go wrong with bone-in, steamed chicken over a crisp pile of shredded vegetables, eggless crepes bursting with fragrant shrimp and pork, and cubes of marinated, flash-seared beef tenderloin with fried rice and watercress. Both locations of Nam Phuong are worthwhile starting points to explore the joys of Vietnamese cuisine beyond pho and banh mi, though the Jimmy Carter Boulevard outpost has a bit of an edge on the Buford Highway one.",1,Norcross,5495 Jimmy Carter Boulevard,00:22:00,00:02:00,True,None
70,Tasty China,"But Tasty China currently is in superb—if not quite Changian—form, churning out stellar dishes including confit-like fish filets in chili oil and velvety, mild chicken with three types of mushrooms. Back then, in 2006, the kitchen was helmed by the talented and elusive Peter Chang, who ignited a love of ma la (hot and numbing spice) that paved the way for Masterpiece and Gu’s. Without Chang, who’s drawn a cult following to restaurants across the South, the original Marietta location faltered at times and flourished at others.",2,Marietta,585 Franklin Gateway,00:21:00,01:40:00,False,tastychina.net
71,Seed Kitchen & Bar,"Back in 2011, Doug Turbush opened a trailblazing restaurant the likes of which East Cobb hadn’t seen—one with a bright-white, modern, Scandinavian aesthetic, a sophisticated cocktail program, and an idiosyncratic menu. Chicken schnitzel is served with miso mustard, pork-belly sliders arrive on Chinese steam buns, and braised local greens are spiked with soy sauce and chilis. Turbush’s food is mainly modern American but with Southern and global influences.",3,East Cobb,"1311 Johnson Ferry Road, Marietta",00:29:00,00:02:00,True,eatatseed.com
72,O4W Pizza,"But the biggest draw remains the game-changing pizzas: classic round pies, thick-crust Sicilians, thick-yet-airy Detroit-style, and, of course, grandma. In 2015, the city fell hard for New Jersey native Anthony Spina’s O4W Pizza—and his square, pan-cooked grandma pie in particular. Spina relaunched a month later in Duluth, with an expanded menu that includes a chicken parm hero on housemade bread and handmade cavatelli.",2,Duluth,3117 Main Street,00:18:00,00:50:00,False,o4wpizza.com
73,La Mixteca Tamale House,"The restaurant’s specialties include all kinds of tamales (perfected by the owner’s mother), some sweet ones and others filled with various meats and moles; ravishingly crisp, giant, blue-corn tlayudas (Mexican pizzas) showered with fresh toppings and housemade sauces; and beautifully deconstructed tamale bowls. The mere sight of the steam table of tamales—with flavors ranging from cactus with cheese to Philly cheesesteak—will set your stomach growling. This fast-casual, family-run, Oaxacan joint brings serious foodie cred to its far-flung suburban location.",1,Suwanee,"1185 Old Peachtree Road, Suwanee",00:32:00,00:03:00,True,facebook.com/lamixtecatamalehouse
